step,session_step,wins,stage,stage_kill,stage_boss_kill,boss_damage,boss_real_damage,avg_reward,best_avg_reward,reward,window_reward,death_resets,boss_stall_resets,last_terminal_reason,progress,best_progress,boss_hp_pct,sps,epsilon,loss,replay_size,updates,episode,elapsed_sec,device,player_hp,player_full_hp,accuracy,window_accuracy,hit_power,hurt_power,shot_power,window_hit_power,window_hurt_power,window_shot_power,action,action_label,boss_alive_frames,boss_no_hit_frames,boss_low_hp_no_hit_frames,boss_time_penalty,total_boss_time_penalty
69000,69000,0,4,0,0,0,0,1151.7630788658453,1283.6982160767652,1.1780000000000002,1151763.0788658452,535,0,hit_death,4.0/0,4.0/0,1.0,24.184171873320036,0.03,817.5062060547684,7068,76026,535,2347.491715192795,cuda,100,100,0.7467838310501073,0.8135283363802559,1127315.0,2885.0,1509560.0,17800.0,40.0,21880.0,1,up,11,12,0,-0.022,-11440.18600000038
70000,70000,0,4,0,0,45,45,1176.1411867600652,1283.6982160767652,2459.5499999999997,1176141.1867600651,542,0,hit_death,4.0/0,4.0/0,0.9925,23.7678769122652,0.03,644.6654445398929,1006,74526,542,2389.6688253879547,cuda,100,100,0.7478811345887638,0.8234489051094891,1145365.0,2925.0,1531480.0,18050.0,40.0,21920.0,8,stay,25,0,0,-0.05,-11598.49600000039
71000,71000,0,4,0,0,5,5,1105.6410334501215,1283.6982160767652,1093.5739999999998,1105641.0334501215,550,0,hit_death,4.0/0,4.0/0,0.9288333333333333,25.74165056523653,0.03,713.0257015901705,2014,74776,550,2428.516373157501,cuda,100,100,0.7485225575526601,0.793418647166362,1162725.0,2965.0,1553360.0,17360.0,40.0,21880.0,0,left-up,113,0,0,-0.226,-11725.626000000402
72000,72000,0,4,0,0,0,0,1035.805379554966,1283.6982160767652,1.1760000000000002,1035805.379554966,560,0,hit_death,4.0/0,4.0/0,1.0,26.423500721490722,0.03,878.6401686438677,3024,75026,560,2466.362472295761,cuda,100,100,0.7489017267648552,0.7758699633699634,1179670.0,3020.0,1575200.0,16945.0,55.0,21840.0,4,right-down,12,13,0,-0.024,-11853.122000000418
73000,73000,0,4,0,0,0,0,1050.7885745316728,1283.6982160767652,1.1880000000000002,1050788.5745316728,570,0,hit_death,4.0/0,4.0/0,1.0,26.294359174171717,0.03,828.5716941668278,4034,75276,570,2504.3934428691864,cuda,100,100,0.7494834193257527,0.7914377289377289,1196955.0,3080.0,1597040.0,17285.0,60.0,21840.0,1,up,6,7,0,-0.012,-11965.972000000433
74000,74000,0,4,0,0,30,30,1219.6890774106375,1283.6982160767652,1435.4486666666667,1219689.0774106376,577,0,hit_death,4.0/0,4.0/0,0.9551666666666667,23.734291445639414,0.03,836.7724852086474,5041,75526,577,2546.526573419571,cuda,100,100,0.7508369984186598,0.8498168498168498,1215515.0,3115.0,1618880.0,18560.0,35.0,21840.0,5,down,69,0,0,-0.138,-12125.654000000444
75000,75000,0,4,0,0,20,20,1100.0341901898425,1283.6982160767652,746.5106666666666,1100034.1901898426,586,0,hit_death,4.0/0,4.0/0,0.8851666666666667,24.798646657260853,0.03,804.054464736611,6050,75776,586,2586.8523573875427,cuda,100,100,0.7515633761611039,0.8055045871559633,1233075.0,3165.0,1640680.0,17560.0,50.0,21800.0,7,left,178,0,0,-0.356,-12266.394000000459
76000,76000,0,4,0,0,35,35,1188.7094565403927,1283.6982160767652,2107.152,1188709.4565403927,593,0,hit_death,4.0/0,4.0/0,0.9938333333333333,23.641020673137785,0.03,848.4298557582979,7057,76026,593,2629.1527156829834,cuda,100,100,0.7524930831228197,0.8220802919708029,1251095.0,3200.0,1662600.0,18020.0,35.0,21920.0,4,right-down,24,0,0,-0.048,-12447.430000000466
77000,77000,0,4,0,0,20,20,1013.3498932828725,1283.6982160767652,721.5753333333333,1013349.8932828725,604,0,hit_death,4.0/0,4.0/0,0.948,27.923046466107266,0.03,792.4101335356587,1010,74526,604,2665.0696215629578,cuda,100,100,0.7528674218137779,0.7813644688644689,1268160.0,3260.0,1684440.0,17065.0,60.0,21840.0,1,up,79,0,0,-0.158,-12539.37200000048
78000,78000,0,4,0,0,20,20,976.8446844700213,1283.6982160767652,2126.7140000000004,976844.6844700213,616,0,hit_death,4.0/0,4.0/0,0.978,27.854110002730554,0.03,824.0157116717519,2022,74776,616,2700.9709661006927,cuda,100,100,0.7530827296809434,0.7696886446886447,1284970.0,3325.0,1706280.0,16810.0,65.0,21840.0,3,right,43,0,0,-0.08600000000000001,-12631.958000000497
79000,79000,0,4,0,0,40,40,1032.9040199341632,1283.6982160767652,2255.368,1032904.0199341633,624,0,hit_death,4.0/0,4.0/0,0.8693333333333333,24.35377112499503,0.03,873.7491863050556,3030,75026,624,2742.0333664417267,cuda,100,100,0.753049486158689,0.7504570383912249,1301390.0,3370.0,1728160.0,16420.0,45.0,21880.0,5,down,176,0,0,-0.352,-12781.838000000507
80000,80000,0,4,0,0,0,0,977.2746598202689,1283.6982160767652,2467.708666666667,977274.6598202689,634,0,hit_death,4.0/0,4.0/0,0.9881666666666666,25.55305639649757,0.03,819.2839823424034,4040,75276,634,2781.1686284542084,cuda,100,100,0.7528627262753703,0.7381386861313869,1317570.0,3430.0,1750080.0,16180.0,60.0,21920.0,1,up,29,1,0,-0.058,-12947.440000000524
81000,81000,0,4,0,0,10,10,1024.189357733487,1283.6982160767652,701.564,1024189.357733487,645,0,hit_death,4.0/0,4.0/0,0.9986666666666667,26.2165651605752,0.03,833.4366897956941,5051,75526,645,2819.312450647354,cuda,100,100,0.7532564282005554,0.7848623853211009,1334680.0,3485.0,1771880.0,17110.0,55.0,21800.0,1,up,18,0,0,-0.036000000000000004,-13055.78600000054
82000,82000,0,4,0,0,40,40,1129.4654008684186,1283.6982160767652,743.8166966399426,1129465.4008684186,652,0,hit_death,4.0/0,4.0/0,0.8891666666666667,23.2713940588176,0.03,796.7616247078072,6058,75776,652,2862.2846632003784,cuda,100,100,0.7537656647192614,0.7948542805100182,1352135.0,3520.0,1793840.0,17455.0,35.0,21960.0,5,down,184,0,0,-0.368,-13200.774000000552
83000,83000,0,4,0,0,30,30,1113.1552211094315,1283.6982160767652,2246.652,1113155.2211094315,659,0,hit_death,4.0/0,4.0/0,0.8775,22.94906465347156,0.03,808.8718428825607,7065,76026,659,2905.8594238758087,cuda,100,100,0.7540893769827283,0.7806776556776557,1369185.0,3555.0,1815680.0,17050.0,35.0,21840.0,5,down,174,0,0,-0.34800000000000003,-13374.400000000565
84000,84000,0,4,0,0,20,20,1156.180580820113,1283.6982160767652,721.048,1156180.580820113,668,0,hit_death,4.0/0,4.0/0,0.9493333333333334,25.269498282461377,0.03,789.0371540882244,1008,74526,668,2945.537333726883,cuda,100,100,0.7550067482258697,0.8312728937728938,1387340.0,3600.0,1837520.0,18155.0,45.0,21840.0,5,down,76,0,0,-0.152,-13525.828000000576
85000,85000,0,4,0,0,15,15,1097.9919709588823,1283.6982160767652,1426.8233333333335,1097991.9709588822,678,0,hit_death,4.0/0,4.0/0,0.9673333333333334,24.582449243969233,0.03,789.3580314002072,2018,74776,678,2986.217763185501,cuda,100,100,0.7556200925029579,0.8071297989031079,1405000.0,3655.0,1859400.0,17660.0,55.0,21880.0,1,up,55,0,0,-0.11,-13687.488000000594
86000,86000,0,4,0,0,35,35,1043.804055698772,1283.6982160767652,1418.7079999999999,1043804.0556987718,688,0,hit_death,4.0/0,4.0/0,0.9768333333333333,26.187307103083157,0.03,951.5008817626947,3028,75026,688,3024.405202150345,cuda,100,100,0.7559108691954414,0.7806215722120659,1422080.0,3705.0,1881280.0,17080.0,50.0,21880.0,0,left-up,46,0,0,-0.092,-13808.112000000609
87000,87000,0,4,0,0,10,10,1065.0767511253237,1283.6982160767652,351.20533333333333,1065076.7511253236,698,0,hit_death,4.0/0,4.0/0,0.9995,26.248195864585448,0.03,865.8544745543301,4038,75276,698,3062.504059791565,cuda,100,100,0.7563474715204507,0.7939560439560439,1439420.0,3755.0,1903120.0,17340.0,50.0,21840.0,1,up,14,0,0,-0.028,-13924.334000000621
88000,88000,0,4,0,0,35,35,1274.6483380629363,1283.6982160767652,2810.4873333333335,1274648.3380629362,704,0,hit_death,4.0/0,4.0/0,0.993,22.760419928506096,0.03,857.0511083738132,5044,75526,704,3106.4399802684784,cuda,100,100,0.7575115322279018,0.8585766423357665,1458240.0,3785.0,1925040.0,18820.0,30.0,21920.0,5,down,23,0,0,-0.046,-14131.89800000063
89000,89000,0,4,0,0,65,65,1232.9858687249348,1283.6982160767652,710.706,1232985.8687249348,710,0,hit_death,4.0/0,4.0/0,0.9738333333333333,22.961900094517446,0.03,819.5954876874533,6050,75776,710,3149.9913835525513,cuda,100,100,0.7584285244689156,0.8389598540145985,1476630.0,3815.0,1946960.0,18390.0,30.0,21920.0,0,left-up,47,0,0,-0.094,-14317.338000000636
90000,90000,0,4,0,0,10,10,1166.354919481215,1283.6982160767652,721.444,1166354.9194812148,718,0,hit_death,4.0/0,4.0/0,0.9486666666666667,23.70709616982985,0.03,769.7948832377305,7058,76026,718,3192.17284655571,cuda,100,100,0.7591781796017879,0.826007326007326,1494670.0,3860.0,1968800.0,18040.0,45.0,21840.0,8,stay,78,0,0,-0.156,-14480.118000000646
91000,91000,0,4,0,0,35,35,1034.4219593940825,1283.6982160767652,2455.824666666667,1034421.9593940824,728,0,hit_death,4.0/0,4.0/0,0.9955,26.183433017416757,0.03,823.67908182775,8068,76276,728,3230.365935564041,cuda,100,100,0.7593333065423565,0.7732664233576643,1511620.0,3910.0,1990720.0,16950.0,50.0,21920.0,5,down,21,0,0,-0.042,-14599.386000000657
92000,92000,0,4,0,0,5,5,1245.4231283128815,1283.6982160767652,1125.3600000000001,1245423.1283128816,734,0,hit_death,4.0/0,4.0/0,0.8756666666666667,22.528785823410196,0.03,827.3242146213286,9074,76526,734,3274.753591775894,cuda,100,100,0.760319984100169,0.850091407678245,1530220.0,3940.0,2012600.0,18600.0,30.0,21880.0,5,down,170,0,0,-0.34,-14767.326000000665
93000,93000,0,4,0,0,40,40,1335.5703332663625,1335.5703332663625,1130.826,1335570.3332663625,739,0,hit_death,4.0/0,4.0/0,0.8653333333333333,21.47348108761678,0.03,840.7907166919513,10079,76776,739,3321.3236598968506,cuda,100,100,0.7615678390971826,0.8761405109489051,1549425.0,3965.0,2034520.0,19205.0,25.0,21920.0,0,left-up,187,0,0,-0.374,-15026.36400000067
94000,94000,0,4,0,0,30,30,1200.4861238975193,1335.5703332663625,1093.3799999999999,1200486.1238975192,746,0,hit_death,4.0/0,4.0/0,0.9283333333333333,22.761768980068535,0.03,814.7368922608629,11086,77026,746,3365.293977499008,cuda,100,100,0.7622301108733709,0.8238117001828154,1567450.0,4000.0,2056400.0,18025.0,35.0,21880.0,8,stay,110,0,0,-0.22,-15243.83400000068
95000,95000,0,4,0,0,15,15,1167.7302351982785,1335.5703332663625,359.4993333333333,1167730.2351982784,754,0,hit_death,4.0/0,4.0/0,0.9573333333333334,23.697081674095216,0.03,816.5725712530265,12094,77276,754,3407.4942667484283,cuda,100,100,0.7629263058624274,0.8282390510948905,1585605.0,4040.0,2078320.0,18155.0,40.0,21920.0,6,left-down,67,0,0,-0.134,-15385.36600000069
96000,96000,0,4,0,0,20,20,1312.3214993974993,1335.5703332663625,1940.3626666666667,1312321.4993974993,759,0,hit_death,4.0/0,4.0/0,0.8096666666666666,22.067522249937035,0.03,793.3086549039938,13099,77526,759,3452.81072974205,cuda,100,100,0.7640531558298099,0.8708941605839416,1604695.0,4065.0,2100240.0,19090.0,25.0,21920.0,5,down,252,0,0,-0.504,-15597.672000000694
97000,97000,0,4,0,0,20,20,1290.4096899415222,1335.5703332663625,1453.4,1290409.6899415222,765,0,hit_death,4.0/0,4.0/0,0.9338333333333333,22.66969862268862,0.03,795.7043038031824,14105,77776,765,3496.923476457596,cuda,100,100,0.7650763358778626,0.8629326047358834,1623645.0,4095.0,2122200.0,18950.0,30.0,21960.0,5,down,100,0,0,-0.2,-15810.474000000704
98000,98000,0,4,0,0,35,35,1169.6734578142996,1335.5703332663625,355.408,1169673.4578142995,773,0,hit_death,4.0/0,4.0/0,0.9773333333333334,23.68155885407743,0.03,937.8955694738158,15113,78026,773,3539.1514251232147,cuda,100,100,0.7657410171262267,0.8302102376599635,1641810.0,4135.0,2144080.0,18165.0,40.0,21880.0,1,up,46,0,0,-0.092,-15956.326000000714
99000,99000,0,4,0,0,35,35,1275.4001137116322,1335.5703332663625,356.59999999999997,1275400.1137116323,780,0,hit_death,4.0/0,4.0/0,0.9713333333333334,22.856705280818115,0.03,829.7923446397572,16120,78276,780,3582.902262687683,cuda,100,100,0.7668167128347184,0.8720346715328468,1660925.0,4170.0,2166000.0,19115.0,35.0,21920.0,7,left,50,0,0,-0.1,-16151.194000000723
100000,100000,0,4,0,0,10,10,1261.665006731104,1335.5703332663625,1493.9526666666666,1261665.006731104,786,0,hit_death,4.0/0,4.0/0,0.8833333333333333,22.2849963476295,0.03,810.4669804471499,17126,78526,786,3627.7765035629272,cuda,100,100,0.7677383085304764,0.8588047445255474,1679750.0,4200.0,2187920.0,18825.0,30.0,21920.0,5,down,157,0,0,-0.314,-16315.532000000729
101000,101000,0,4,0,0,25,25,1120.3426533416587,1335.5703332663625,1515.8533333333335,1120342.6533416586,795,0,hit_death,4.0/0,4.0/0,0.8545,23.3811164900319,0.03,768.5571157113739,1008,76994,795,3670.7940809726715,cuda,100,100,0.7681415849111248,0.8083941605839416,1697470.0,4245.0,2209840.0,17720.0,45.0,21920.0,7,left,200,0,0,-0.4,-16468.680000000746
102000,102000,0,4,0,0,25,25,1282.8614517846504,1335.5703332663625,1845.2473333333335,1282861.4517846503,800,0,hit_death,4.0/0,4.0/0,0.9048333333333334,21.502726582913276,0.03,781.9281066265668,2013,77244,800,3717.3008105754852,cuda,100,100,0.7688662759436499,0.8419251824817519,1715925.0,4270.0,2231760.0,18455.0,25.0,21920.0,6,left-down,143,0,0,-0.28600000000000003,-16752.95800000075
103000,103000,0,4,0,0,15,15,1182.882072683897,1335.5703332663625,1087.434,1182882.0726838969,808,0,hit_death,4.0/0,4.0/0,0.9376666666666666,23.99389681610223,0.03,741.5003297251393,3021,77494,808,3758.9780757427216,cuda,100,100,0.7695198793042244,0.8363095238095238,1734190.0,4310.0,2253600.0,18265.0,40.0,21840.0,5,down,93,0,0,-0.186,-16911.228000000774
104000,104000,0,4,0,0,15,15,1090.4872298158296,1335.5703332663625,1499.9166666666667,1090487.2298158295,817,0,hit_death,4.0/0,4.0/0,0.8756666666666667,24.2444591986713,0.03,733.9370095970481,4030,77744,817,3800.224613428116,cuda,100,100,0.7698206908675398,0.8009174311926606,1751650.0,4365.0,2275400.0,17460.0,55.0,21800.0,5,down,175,0,0,-0.35000000000000003,-17053.55800000081
105000,105000,0,4,0,0,0,0,1144.2577042148544,1335.5703332663625,1.1960000000000002,1144257.7042148544,826,0,hit_death,4.0/0,4.0/0,1.0,24.139334247660894,0.03,769.9866023566897,5039,77994,826,3841.6507766246796,cuda,100,100,0.7703262118679481,0.8228976234003657,1769655.0,4410.0,2297280.0,18005.0,45.0,21880.0,2,right-up,2,3,0,-0.004,-17205.204000000827
106000,106000,0,4,0,0,15,15,1114.3167298212745,1335.5703332663625,1100.556,1114316.7298212745,834,0,hit_death,4.0/0,4.0/0,0.9156666666666666,24.76255484923103,0.03,856.0545216747979,6047,78244,834,3882.0353314876556,cuda,100,100,0.7706371382248439,0.8033424908424909,1787200.0,4460.0,2319120.0,17545.0,50.0,21840.0,7,left,132,0,0,-0.264,-17350.004000000867
107000,107000,0,4,0,0,20,20,1195.8900383008108,1335.5703332663625,1453.916,1195890.0383008108,842,0,hit_death,4.0/0,4.0/0,0.9323333333333333,23.408267511142704,0.03,769.4855008888277,7055,78494,842,3924.7552807331085,cuda,100,100,0.7713074977786891,0.8424908424908425,1805600.0,4500.0,2340960.0,18400.0,40.0,21840.0,5,down,102,0,0,-0.20400000000000001,-17523.36800000089
108000,108000,0,4,0,0,35,35,1029.892852046431,1335.5703332663625,721.4913333333333,1029892.852046431,852,0,hit_death,4.0/0,4.0/0,0.946,26.03667415043676,0.03,800.4296937888573,1009,76995,852,3963.269659757614,cuda,100,100,0.7713415666424013,0.775,1822495.0,4555.0,2362760.0,16895.0,55.0,21800.0,7,left,81,0,0,-0.162,-17647.922000000908
